marque,modele_dossier,modele,type_carburant,est_hybride,puissance_fiscale,conso_urbaine,conso_extraurbaine,conso_mixte,co2_gkm,masse_min_kg,masse_max_kg,carrosserie,gamme,motorisation
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,8,"6,400000095","6,900000095",181.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,8,"6,400000095","6,900000095",181.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,8,"6,400000095","6,900000095",181.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,8,"6,400000095","6,900000095",181.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,699999809","7,199999809","7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,300000191","6,900000095","7,400000095",195.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,8,"6,400000095","6,900000095",181.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,8,"6,599999905","7,099999905",187.0,1976,2783,MINIBUS,MOY-INFER,diesel
